date,group,match_no,home_team,away_team,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,actual_outcome,outcome_correct,exact_score_correct,outcome_probability,home_xg,away_xg,elo_diff,score_model,score_model_detail,within_one_goal_correct,home_goal_error,away_goal_error,scoreline_absolute_error,elo_poisson_predicted_home_score,elo_poisson_predicted_away_score,elo_poisson_predicted_outcome,elo_poisson_model_detail,training_cutoff,training_data_through,training_scope
2026-06-24 19:00:00,Group B,12,Bosnia and Herzegovina,Qatar,3.0,1.0,0,1,away_win,home_win,False,False,0.6086956521739131,1.294,1.461,-39.33,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,3.0,0.0,3.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-23,before_match_date
2026-06-24 22:00:00,Group C,17,Scotland,Brazil,0.0,3.0,0,2,away_win,away_win,True,False,1.0,0.902,2.096,-274.12,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,1.0,1.0,0,2,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-23,before_match_date
2026-06-24 22:00:00,Group C,18,Morocco,Haiti,4.0,2.0,2,0,home_win,home_win,True,False,0.6363636363636364,1.986,0.952,238.9,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,2.0,4.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-23,before_match_date
2026-06-25 01:00:00,Group A,5,Czech Republic,Mexico,0.0,3.0,1,1,draw,away_win,False,False,1.0,1.074,1.761,-160.74,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,1.0,2.0,3.0,1,1,draw,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-23,before_match_date
2026-06-25 01:00:00,Group A,6,South Africa,South Korea,1.0,0.0,0,1,away_win,home_win,False,False,0.6086956521739131,1.173,1.612,-103.3,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-24,2026-06-23,before_match_date
2026-06-25 20:00:00,Group E,29,Curaçao,Ivory Coast,0.0,2.0,1,2,away_win,away_win,True,False,0.56,1.06,1.784,-169.33,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,0.0,1.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-24,before_match_date
2026-06-25 20:00:00,Group E,30,Ecuador,Germany,2.0,1.0,1,3,away_win,home_win,False,False,1.0,1.048,1.804,-176.68,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,1.0,2.0,3.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-24,before_match_date
2026-06-25 23:00:00,Group F,35,Japan,Sweden,1.0,1.0,1,0,home_win,draw,False,False,0.6588235294117651,1.833,1.031,187.04,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,0.0,1.0,1.0,1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-24,before_match_date
2026-06-25 23:00:00,Group F,36,Tunisia,Netherlands,1.0,3.0,0,2,away_win,away_win,True,False,1.0,0.929,2.035,-254.82,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",True,1.0,1.0,2.0,0,2,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-24,before_match_date
2026-06-26 02:00:00,Group D,23,Turkey,United States,3.0,2.0,1,3,away_win,home_win,False,False,1.0,1.074,1.761,-160.7,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,2.0,1.0,3.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-24,before_match_date
2026-06-26 02:00:00,Group D,24,Paraguay,Australia,0.0,0.0,1,3,away_win,draw,False,False,1.0,1.275,1.483,-49.08,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",False,1.0,3.0,4.0,0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=2, leaf=4)",2026-06-25,2026-06-24,before_match_date
