match_key,tournament,competition,year,round,stage_type,date,home_team,away_team,home_score,away_score
FIFA World Cup 2018-group_D-4,FIFA World Cup 2018,FIFA World Cup,2018,Group D,group,2018-06-22,Nigeria,Iceland,2.0,0.0
FIFA World Cup 2018-group_D-5,FIFA World Cup 2018,FIFA World Cup,2018,Group D,group,2018-06-26,Nigeria,Argentina,1.0,2.0
FIFA World Cup 2018-group_D-6,FIFA World Cup 2018,FIFA World Cup,2018,Group D,group,2018-06-26,Iceland,Croatia,1.0,2.0
FIFA World Cup 2018-group_E-1,FIFA World Cup 2018,FIFA World Cup,2018,Group E,group,2018-06-17,Costa Rica,Serbia,0.0,1.0
FIFA World Cup 2018-group_E-2,FIFA World Cup 2018,FIFA World Cup,2018,Group E,group,2018-06-17,Brazil,Switzerland,1.0,1.0
FIFA World Cup 2018-group_E-3,FIFA World Cup 2018,FIFA World Cup,2018,Group E,group,2018-06-22,Brazil,Costa Rica,2.0,0.0
FIFA World Cup 2018-group_E-4,FIFA World Cup 2018,FIFA World Cup,2018,Group E,group,2018-06-22,Serbia,Switzerland,1.0,2.0
FIFA World Cup 2018-group_E-5,FIFA World Cup 2018,FIFA World Cup,2018,Group E,group,2018-06-27,Serbia,Brazil,0.0,2.0
FIFA World Cup 2018-group_E-6,FIFA World Cup 2018,FIFA World Cup,2018,Group E,group,2018-06-27,Switzerland,Costa Rica,2.0,2.0
FIFA World Cup 2018-group_F-1,FIFA World Cup 2018,FIFA World Cup,2018,Group F,group,2018-06-17,Germany,Mexico,0.0,1.0
FIFA World Cup 2018-group_F-2,FIFA World Cup 2018,FIFA World Cup,2018,Group F,group,2018-06-18,Sweden,South Korea,1.0,0.0
FIFA World Cup 2018-group_F-3,FIFA World Cup 2018,FIFA World Cup,2018,Group F,group,2018-06-23,South Korea,Mexico,1.0,2.0
FIFA World Cup 2018-group_F-4,FIFA World Cup 2018,FIFA World Cup,2018,Group F,group,2018-06-23,Germany,Sweden,2.0,1.0
FIFA World Cup 2018-group_F-5,FIFA World Cup 2018,FIFA World Cup,2018,Group F,group,2018-06-27,South Korea,Germany,2.0,0.0
FIFA World Cup 2018-group_F-6,FIFA World Cup 2018,FIFA World Cup,2018,Group F,group,2018-06-27,Mexico,Sweden,0.0,3.0
FIFA World Cup 2018-group_G-1,FIFA World Cup 2018,FIFA World Cup,2018,Group G,group,2018-06-18,Belgium,Panama,3.0,0.0
FIFA World Cup 2018-group_G-2,FIFA World Cup 2018,FIFA World Cup,2018,Group G,group,2018-06-18,Tunisia,England,1.0,2.0
FIFA World Cup 2018-group_G-3,FIFA World Cup 2018,FIFA World Cup,2018,Group G,group,2018-06-23,Belgium,Tunisia,5.0,2.0
FIFA World Cup 2018-group_G-4,FIFA World Cup 2018,FIFA World Cup,2018,Group G,group,2018-06-24,England,Panama,6.0,1.0
FIFA World Cup 2018-group_G-5,FIFA World Cup 2018,FIFA World Cup,2018,Group G,group,2018-06-28,England,Belgium,0.0,1.0
FIFA World Cup 2018-group_G-6,FIFA World Cup 2018,FIFA World Cup,2018,Group G,group,2018-06-28,Panama,Tunisia,1.0,2.0
FIFA World Cup 2018-group_H-1,FIFA World Cup 2018,FIFA World Cup,2018,Group H,group,2018-06-19,Colombia,Japan,1.0,2.0
